/Users/ramazanhanaev/Desktop/instagram_telegram_bot_beckap/instagram_telegram_bot_reserv/fresh_env/lib/python3.12/site-packages/telegram/utils/request.py:49: UserWarning: python-telegram-bot is using upstream urllib3. This is allowed but not supported by python-telegram-bot maintainers.
  warnings.warn(
/Users/ramazanhanaev/Desktop/instagram_telegram_bot_beckap/instagram_telegram_bot_reserv/fresh_env/lib/python3.12/site-packages/apscheduler/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
2025-08-02 18:33:13,115 - __main__ - INFO - Инициализация базы данных...
2025-08-02 18:33:13,134 - database.db_manager - INFO - База данных инициализирована
2025-08-02 18:33:13,135 - database.connection_pool - INFO - 🗄️ Database Connection Pool инициализирован: pool_size=15, max_overflow=25
2025-08-02 18:33:13,135 - database.connection_pool - INFO - 🗄️ Глобальный Database Connection Pool инициализирован
2025-08-02 18:33:13,135 - database.db_manager - INFO - ✅ Database Connection Pool инициализирован в db_manager
2025-08-02 18:33:13,135 - __main__ - INFO - Запуск планировщика задач...
2025-08-02 18:33:13,135 - utils.scheduler - INFO - Планировщик задач запущен
2025-08-02 18:33:13,135 - __main__ - INFO - Запуск обработчика очереди задач...
2025-08-02 18:33:13,135 - utils.task_queue - INFO - 🚀 Запущен адаптивный обработчик очереди задач
2025-08-02 18:33:13,135 - utils.task_queue - INFO - Запущен поток обработки очереди задач
2025-08-02 18:33:13,135 - __main__ - INFO - Запуск мониторинга системных ресурсов...
2025-08-02 18:33:13,136 - utils.system_monitor - INFO - 🖥️ Запущен мониторинг системных ресурсов (профиль: macbook)
2025-08-02 18:33:13,136 - __main__ - INFO - Запуск умного валидатора аккаунтов...
2025-08-02 18:33:13,137 - utils.smart_validator_service - INFO - 🚀 Инициализирован умный валидатор (проверки: 2, восстановления: 1)
2025-08-02 18:33:13,142 - utils.smart_validator_service - INFO - ✅ Умный валидатор запущен
2025-08-02 18:33:13,142 - __main__ - INFO - 🏊‍♂️ Готовим Instagram Client Pool для оптимизации API запросов...
2025-08-02 18:33:13,148 - instagram.client_pool - INFO - 🏊‍♂️ Адаптивный Instagram Client Pool инициализирован: start=50, limit=300
2025-08-02 18:33:13,151 - instagram.client_pool - INFO - 🏊‍♂️ Глобальный Адаптивный Instagram Client Pool инициализирован
